"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,장기차입금의 상환,-11491040000.0,-71170040000.0,,-54000000000.0,59140000000.0,49398820549.0,,,,,
entity00536541_ExerciseOfCallOptionsOnConvertibleBondsOfOutflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,전환사채 콜옵션 행사,Exercise of call options on convertible bonds,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,전환사채 콜옵션 행사,,-60000073400.0,,,,,,,,,
dart_RepaymentsOfBonds,사채의 상환,Repayments of bonds,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,사채의 상환,,-82235000000.0,-40000000000.0,,,,20000000000.0,,2000000000.0,1980000000.0,2640000000.0
dart_RepaymentOfConvertibleBonds,상환우선주 상환,Repayment of convertible bonds,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,상환우선주 상환,,,-2599981603.0,,399980210.0,,,,,,
dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,"Payments of finance lease liabilities, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,리스부채의 상환,-3996786810.0,-2826547877.0,-1543641567.0,-943977102.0,-1392033379.0,-1336023876.0,,682380000.0,13295830000.0,,
dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,임대보증금의 증가,,-14364000.0,,-600598000.0,,,,,,,
dart_RepaymentForGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 상환,Repayment for government grants classified as financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,정부보조금의 상환,-206832688.0,,-344062453.0,-354619410.0,,,,,,,
ifrs-full_InterestPaidClassifiedAsFinancingActivities,이자지급,Interest paid,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,이자지급,-117416916012.0,-94999352896.0,-50156949553.0,-9590242654.0,-9929803193.0,-8770929292.0,-8644780279.0,-2939555693.0,-3466950037.0,-3196535582.0,-3328742044.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,배당금지급,,-12508252500.0,-10216871380.0,-6561447900.0,-8025505500.0,,,51126869273.0,38604203358.0,21793675195.0,21045350961.0
ifrs-full_DividendsPaidToNoncontrollingInterests,비지배지분에 지급한 배당금,Dividends paid to non-controlling interests,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,비지배지분에 지급한 배당금,-6261936000.0,-30063350250.0,-14731358990.0,-4487616450.0,,,,,,,
entity00536541_TransactionsWithNonControllingInterestsOfOutflowsOfCashFromFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,비지배지분과의 거래,Transactions with non-controlling interests,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,비지배지분과의 거래,-6361623941.0,,,,,,,,,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득으로 인한 현금의 유출,Acquisition of treasury shares,ifrs-full:StatementOfCashFlowsAbstract,재무활동 현금흐름,재무활동으로 인한 현금유출액,자기주식의 취득으로 인한 현금의 유출,,-18857831275.0,-2326905984.0,-2135573442.0,-5000003700.0,-4938233700.0,,,,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,ifrs-full:StatementOfCashFlowsAbstract,환율변동효과 반영전 현금및현금성자산의 순증가(감소),,,-177941925934.0,764305053383.0,66338889972.0,155240140336.0,102378678912.0,18992161114.0,-6999552793.0,1182976922.0,17051043796.0,3269856982.0,-579350524.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초 현금및현금성자산,Cash and cash equivalents at beginning of period,ifrs-full:StatementOfCashFlowsAbstract,기초 현금및현금성자산,,,1115975802114.0,356369658059.0,291816009381.0,136464984002.0,34641926232.0,-30414119.0,22712522686.0,21582510215.0,4530653520.0,1253996496.0,1833347020.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,현금및현금성자산에 대한 환율변동효과,,,16264198410.0,-4698909328.0,-1785241294.0,110885043.0,-555621142.0,15680179237.0,-32790656.0,-52964451.0,812899.0,6800042.0,-13443.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말 현금및현금성자산,Cash and cash equivalents at end of period,ifrs-full:StatementOfCashFlowsAbstract,기말 현금및현금성자산,,,954298074590.0,1115975802114.0,356369658059.0,291816009381.0,136464984002.0,34641926232.0,15680179237.0,22712522686.0,21582510215.0,4530653520.0,1253996496.0
